time_step,altitude,vertical_speed,fuel,throttle,reward
0,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
1,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
2,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
3,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
4,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
5,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
6,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
7,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
8,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
9,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
10,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
11,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
12,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
13,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
14,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
15,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
16,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
17,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
18,75.454285,-1.6092455e-11,0.26055557,0.19963299,-3.2140686e-13
19,75.645706,0.33831424,0.26046118,0.19963299,0.010149429
20,75.712776,0.68748206,0.26017448,0.2072324,0.020624463
21,75.79512,0.6397815,0.25987503,0.21504939,0.019193446
22,75.86634,0.8799051,0.25938502,0.21396656,0.026397156
23,76.13848,3.2663288,0.25796682,0.21931706,0.09798987
24,76.65399,4.7884774,0.2568945,0.26839122,0.14365432
25,77.35345,6.334839,0.25581363,0.28641087,0.19004516
26,78.28105,8.733722,0.25439543,0.29156116,0.26201165
27,79.49685,11.137294,0.25297722,0.2830689,0.3341188
28,80.95775,12.670067,0.2519055,0.26706398,0.38010204
29,82.59341,13.750864,0.2510135,0.25792548,0.41252595
30,84.22563,13.493189,0.25065133,0.25285155,0.40479565
31,85.826225,13.231329,0.250291,0.25530994,0.39693987
32,87.396065,12.979107,0.24992703,0.25794017,0.3893732
33,88.93634,12.736991,0.2495593,0.26065478,0.38210976
34,90.44829,12.505247,0.24918766,0.26343012,0.37515745
35,91.93315,12.284049,0.24881206,0.2662388,0.36852145
36,93.39222,12.073471,0.2484325,0.26905125,0.36220416
37,94.82676,11.87348,0.24804895,0.2718374,0.3562044
38,96.23803,11.683932,0.24766149,0.27456874,0.350518
39,97.62727,11.504588,0.24727023,0.27721983,0.34513766
40,98.99569,11.335131,0.24687526,0.27976954,0.34005392
41,100.344444,11.175171,0.24647677,0.28220126,0.33525515
42,101.67464,11.024271,0.24607491,0.28450298,0.33072814
43,102.987335,10.881953,0.2456699,0.28666738,0.3264586
44,104.28352,10.747725,0.24526191,0.28869087,0.32243174
