step,altitude_m,throttle,reward
0,75.45,0.200,-0.0000
1,75.45,0.200,-0.0000
2,75.45,0.200,-0.0000
3,75.45,0.200,-0.0000
4,75.45,0.200,-0.0000
5,75.45,0.200,-0.0000
6,75.45,0.200,-0.0000
7,75.45,0.200,-0.0000
8,75.45,0.200,-0.0000
9,75.45,0.200,-0.0000
10,75.45,0.200,-0.0000
11,75.45,0.200,-0.0000
12,75.45,0.200,-0.0000
13,75.45,0.200,-0.0000
14,75.45,0.200,-0.0000
15,75.45,0.200,-0.0000
16,75.45,0.200,-0.0000
17,75.45,0.200,-0.0000
18,75.45,0.200,-0.0000
19,75.65,0.200,0.0101
20,75.71,0.207,0.0206
21,75.80,0.215,0.0192
22,75.87,0.214,0.0264
23,76.14,0.219,0.0980
24,76.65,0.268,0.1437
25,77.35,0.286,0.1900
26,78.28,0.292,0.2620
27,79.50,0.283,0.3341
28,80.96,0.267,0.3801
29,82.59,0.258,0.4125
30,84.23,0.253,0.4048
31,85.83,0.255,0.3969
32,87.40,0.258,0.3894
33,88.94,0.261,0.3821
34,90.45,0.263,0.3752
35,91.93,0.266,0.3685
36,93.39,0.269,0.3622
37,94.83,0.272,0.3562
38,96.24,0.275,0.3505
39,97.63,0.277,0.3451
40,99.00,0.280,0.3401
41,100.34,0.282,0.3353
42,101.67,0.285,0.3307
43,102.99,0.287,0.3265
44,104.28,0.289,0.3224
45,105.56,0.291,0.3186
46,106.83,0.292,0.3150
47,108.08,0.294,0.3117
48,109.32,0.295,0.3085
49,110.55,0.297,0.3054
50,111.76,0.298,0.3025
51,112.97,0.299,0.2998
52,114.16,0.300,0.2972
53,115.34,0.301,0.2947
54,116.52,0.302,0.2924
55,117.68,0.303,0.2901
56,118.83,0.303,0.2880
57,119.98,0.304,0.2859
58,121.12,0.305,0.2839
59,122.25,0.305,0.2820
60,123.37,0.306,0.2802
61,124.49,0.306,0.2784
62,125.60,0.306,0.2767
63,126.70,0.307,0.2750
64,127.80,0.307,0.2734
65,128.89,0.307,0.2718
66,129.97,0.307,0.2703
67,131.05,0.308,0.2688
68,132.12,0.308,0.2673
69,133.19,0.308,0.2659
70,134.25,0.308,0.2645
71,135.30,0.308,0.2631
72,136.35,0.308,0.2617
73,137.40,0.308,0.2604
74,138.43,0.308,0.2590
75,139.47,0.308,0.2577
76,140.49,0.308,0.2564
77,141.52,0.307,0.2551
78,142.53,0.307,0.2538
79,143.55,0.307,0.2525
80,144.55,0.307,0.2512
81,145.55,0.307,0.2498
82,146.55,0.307,0.2485
83,147.54,0.306,0.2472
84,148.53,0.306,0.2458
85,149.51,0.306,0.2445
86,150.48,0.305,0.2431
87,151.45,0.305,0.2417
88,152.41,0.305,0.2402
89,153.37,0.304,0.2388
90,154.32,0.304,0.2373
91,155.27,0.303,0.2358
92,156.21,0.303,0.2342
93,157.14,0.302,0.2326
94,158.07,0.302,0.2310
95,158.99,0.301,0.2293
96,159.90,0.300,0.2275
97,160.80,0.300,0.2257
98,161.70,0.299,0.2238
99,162.59,0.298,0.2218
100,163.48,0.297,0.2198
101,164.35,0.296,0.2177
102,165.22,0.295,0.2155
103,166.05,0.294,0.1968
104,166.78,0.286,0.1776
105,167.48,0.277,0.1739
106,168.16,0.275,0.1695
107,168.83,0.272,0.1650
108,169.48,0.270,0.1601
109,170.11,0.267,0.1549
110,170.72,0.264,0.1495
111,171.30,0.261,0.1437
112,171.86,0.258,0.1328
113,172.32,0.252,0.1117
114,172.75,0.242,0.1042
115,173.15,0.238,0.0960
116,173.52,0.234,0.0873
117,173.84,0.230,0.0782
118,174.13,0.226,0.0687
119,174.39,0.222,0.0576
120,174.58,0.218,0.0433
121,174.72,0.212,0.0283
122,174.79,0.207,0.0128
123,174.81,0.201,-0.0015
124,174.77,0.195,-0.0101
125,174.68,0.190,-0.0191
126,174.53,0.184,-0.0285
127,174.33,0.178,-0.0383
128,174.06,0.171,-0.0487
129,173.73,0.163,-0.0596
130,173.33,0.155,-0.0711
131,172.86,0.149,-0.0830
132,172.33,0.143,-0.0936
133,171.73,0.140,-0.1037
134,171.08,0.137,-0.1141
135,170.36,0.135,-0.1247
136,169.57,0.133,-0.1354
137,168.72,0.132,-0.1462
138,167.81,0.131,-0.1570
139,166.83,0.131,-0.1686
140,165.77,0.130,-0.1808
141,164.66,0.129,-0.1828
142,163.67,0.129,-0.1637
143,162.71,0.130,-0.1446
144,161.97,0.131,-0.1145
145,161.40,0.135,-0.0951
146,160.88,0.139,-0.0865
147,160.31,0.141,-0.0993
148,159.77,0.137,-0.0906
149,159.18,0.140,-0.1035
150,158.52,0.136,-0.1165
151,157.87,0.134,-0.1079
152,157.28,0.136,-0.0883
153,156.94,0.140,-0.0360
154,156.85,0.170,-0.0045
155,157.01,0.193,0.0720
156,157.43,0.227,0.1215
157,158.10,0.252,0.2006
158,159.04,0.291,0.2528
159,160.19,0.306,0.3057
160,161.60,0.311,0.3852
161,163.33,0.310,0.4648
162,165.32,0.301,0.5044
163,167.34,0.294,0.5034
164,169.35,0.296,0.5022
165,171.35,0.298,0.5011
166,173.35,0.299,0.5003
167,175.35,0.301,0.4997
168,177.35,0.302,0.4992
169,179.35,0.303,0.4989
170,181.34,0.304,0.4987
171,183.34,0.305,0.4987
172,185.33,0.306,0.4988
173,187.33,0.307,0.4991
174,189.32,0.308,0.4994
175,190.66,0.309,0.4997
176,192.66,0.309,0.5003
177,194.66,0.310,0.5009
178,196.33,0.310,0.5015
179,198.67,0.311,0.5024
180,200.68,0.312,0.5033
181,202.70,0.312,0.5043
