step,altitude_m,throttle,reward
0,75.45,0.176,-0.0000
1,75.45,1.000,-0.0000
2,75.45,0.042,-0.0000
3,75.45,1.000,-0.0000
4,75.45,0.000,-0.0000
5,75.45,0.778,-0.0000
6,75.45,0.706,-0.0000
7,75.45,1.000,-0.0000
8,75.45,0.480,-0.0000
9,75.45,0.000,-0.0000
10,75.45,0.000,-0.0000
11,75.45,0.000,-0.0000
12,75.45,0.720,-0.0000
13,75.45,0.000,-0.0000
14,75.45,0.000,-0.0000
15,75.45,0.000,-0.0000
16,75.45,0.000,-0.0000
17,75.45,0.000,-0.0000
18,75.45,0.000,-0.0000
19,75.63,0.325,0.0039
20,75.68,0.000,0.0112
21,75.69,0.000,-0.0015
22,75.66,0.044,-0.0072
23,75.62,0.000,-0.0056
24,75.64,1.000,0.0319
25,75.79,0.000,0.0170
26,75.83,1.000,0.0307
27,76.05,0.000,0.0490
28,76.16,0.000,0.0139
29,76.21,1.000,0.0322
30,76.43,0.000,0.0506
31,76.56,0.008,0.0159
32,76.55,0.221,-0.0046
33,76.55,1.000,0.0233
34,76.81,0.954,0.0929
35,77.34,0.941,0.1595
36,78.06,0.000,0.1749
37,78.68,0.000,0.1398
38,79.16,0.000,0.1047
39,79.50,0.091,0.0744
40,79.73,0.000,0.0442
41,79.83,0.000,0.0090
42,79.78,0.000,-0.0174
43,79.67,1.000,-0.0049
44,79.81,1.000,0.0652
45,80.17,0.000,0.0839
46,80.43,0.121,0.0553
47,80.60,0.144,0.0345
48,80.74,0.840,0.0525
49,81.05,0.354,0.0819
50,81.36,0.000,0.0659
51,81.50,0.761,0.0562
52,81.84,1.000,0.1120
53,82.39,0.000,0.1310
54,82.83,0.000,0.0958
55,83.13,0.006,0.0611
56,83.37,1.000,0.0805
57,83.86,0.943,0.1507
58,84.55,0.000,0.1668
59,85.13,0.000,0.1317
60,85.61,0.435,0.1202
61,86.09,0.000,0.1087
62,86.47,0.395,0.0950
63,86.84,0.000,0.0814
64,87.15,1.000,0.1006
65,87.69,0.430,0.1434
66,88.26,0.000,0.1317
67,88.70,0.010,0.0972
68,89.01,0.000,0.0626
69,89.25,1.000,0.0820
70,89.75,1.000,0.1561
71,90.50,0.313,0.1927
72,91.24,0.000,0.1746
73,91.86,0.000,0.1395
74,92.37,0.442,0.1285
75,92.91,0.428,0.1410
76,93.47,0.000,0.1293
